Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake,image_url
Barred Wolf Snake,Lycodon striatus,0,Gujarat; Rajasthan; Maharashtra; Karnataka,Slim,Banded,Graybrown,Oval,Tiny,Grasslands,Not Applicable,A harmless night-active snake recognized by its barred body pattern and secretive habits.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Barred%20Wolf%20Snake.jpg
Travancore Wolf Snake,Lycodon travancoricus,0,Kerala; Karnataka; Tamil Nadu,Compact,Satin,Darkbrown,Blunt,Minute,Rainforests,Not Applicable,A forest-dwelling wolf snake commonly found in moist Western Ghats habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Travancore%20Wolf%20Snake.jpg
Common Cat Snake,Boiga trigonata,0,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Slender,Keeled,Brownish,Triangular,Rearfanged,Shrublands,Not Applicable,A nocturnal mildly venomous tree snake recognized by its cat-like vertical pupils.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Cat%20Snake.jpg
Beddomes Cat Snake,Boiga beddomei,0,Kerala; Karnataka; Tamil Nadu,Flexible,Glossy,Chestnut,Oval,Curved,Rainforests,Not Applicable,A secretive arboreal snake commonly inhabiting dense Western Ghats forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Beddome's%20Cat%20Snake.jpeg
Forstens Cat Snake,Boiga forsteni,0,Assam; Odisha; Kerala; Karnataka; Tamil Nadu,Elongated,Smooth,Olivebrown,Broad,Sharp,Woodlands,Not Applicable,A large climbing snake active mostly at night within forested habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Forsten's%20Cat%20Snake.jpg
Mountain Cat Snake,Boiga multifasciata,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Lean,Banded,Grayish,Flattened,Hooked,Hills,Not Applicable,A cool-region arboreal snake usually found in hilly forests and rocky vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mountain%20Cat%20Snake.jpeg
Andaman Cat Snake,Boiga andamanensis,0,Andaman Islands,Slim,Polished,Darkolive,Rounded,Tiny,Tropicalforests,Not Applicable,An endemic island cat snake adapted to humid tropical forest environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Andaman%20Cat%20Snake.jpeg
Common Kukri Snake,Oligodon arnensis,0,Assam; West Bengal; Maharashtra; Karnataka; Tamil Nadu,Compact,Smooth,Brown,Narrow,Bladelike,Farmlands,Not Applicable,A harmless ground snake named after its curved kukri-shaped rear teeth.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Nicobar%20Cobra.jpeg
Banded Kukri Snake,Oligodon taeniolatus,0,Rajasthan; Gujarat; Maharashtra; Karnataka,Slender,Banded,Tan,Rounded,Sharp,Scrublands,Not Applicable,A small nocturnal snake recognized by dark bands across its body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Banded%20Kukri%20Snake.jpeg
Ocellated Kukri Snake,Oligodon ocellatus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Spotted,Olive,Flattened,Curved,Forests,Not Applicable,A secretive kukri snake displaying eye-like markings along its patterned body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Ocellated%20Kukri%20Snake.jpg
Coral Kukri Snake,Oligodon kheriensis,0,Uttar Pradesh; Bihar; West Bengal; Assam,Lean,Glossy,Coralred,Pointed,Tiny,Grasslands,Not Applicable,A brightly colored kukri snake inhabiting moist grasslands and forest edges.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Coral%20Kukri%20Snake.jpeg
Streaked Kukri Snake,Oligodon dorsalis,0,Kerala; Karnataka; Tamil Nadu; Goa,Threadlike,Striped,Bronzebrown,Oval,Minute,Leaflitter,Not Applicable,A tiny forest-floor snake commonly hidden beneath leaves and loose soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Streaked%20Kukri%20Snake.jpg
Black Kukri Snake,Oligodon melaneus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slim,Glossy,Black,Rounded,Bladelike,Forests,Not Applicable,A dark-colored kukri snake usually active during nighttime within humid forest habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Black%20Kukri%20Snake.jpeg
Olive Kukri Snake,Oligodon cyclurus,0,West Bengal; Odisha; Assam; Kerala,Flexible,Smooth,Olive,Pointed,Curved,Shrublands,Not Applicable,A harmless nocturnal snake commonly found near bushes and forest undergrowth.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Olive%20Kukri%20Snake.jpeg
Common Mock Viper,Psammodynastes pulverulentus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Short,Rough,Brownish,Triangular,Rearward,Rainforests,Not Applicable,A small snake mimicking vipers through defensive posture and triangular head appearance.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Mock%20Viper.jpg
Glossy Marsh Snake,Xenochrophis cerasogaster,0,Assam; West Bengal; Odisha; Bihar,Elongated,Shiny,Darkolive,Narrow,Small,Marshes,Not Applicable,"A semi-aquatic snake inhabiting marshlands, ponds, and slow-moving freshwater habitats.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Glossy%20Marsh%20Snake.jpeg
Indian Water Snake,Fowlea piscator,0,Assam; Uttar Pradesh; Bihar; Kerala; Tamil Nadu,Muscular,Keeled,Checkered,Flattened,Toothlike,Rivers,Not Applicable,"A common freshwater snake frequently seen swimming near lakes, rivers, and wetlands.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Water%20Snake.jpeg
Rainbow Water Snake,Enhydris enhydris,0,West Bengal; Odisha; Assam; Kerala,Slender,Iridescent,Rainbow,Narrow,Small,Swamps,Not Applicable,A semi-aquatic snake displaying subtle rainbow-like sheen under sunlight near wetlands.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Rainbow%20Water%20Snake.jpeg
Asiatic Water Snake,Fowlea asperrima,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Rough,Olivebrown,Rounded,Tiny,Streams,Not Applicable,A freshwater snake commonly found around hill streams and marshy environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Asiatic%20Water%20Snake.jpeg
Fishing Snake,Xenochrophis piscator,0,Uttar Pradesh; Bihar; West Bengal; Tamil Nadu; Kerala,Muscular,Keeled,Browncheckered,Flattened,Sharp,Lakes,Not Applicable,A strong swimming snake often hunting fish and amphibians in freshwater habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Fishing%20Snake.jpeg
Smooth Water Snake,Enhydris plumbea,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Graybrown,Blunt,Minute,Ponds,Not Applicable,"A harmless aquatic snake inhabiting ponds, marshes, and slow-moving waters.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Smooth%20Water%20Snake.jpg
Black-headed Snake,Sibynophis subpunctatus,0,Kerala; Karnataka; Tamil Nadu; Goa,Lean,Polished,Yellowish,Blackheaded,Toothlike,Leaflitter,Not Applicable,A small non-venomous snake usually hidden beneath forest leaves and loose soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Black-headed%20Snake.jpeg
Indian Rock Python,Python molurus,0,Assam; West Bengal; Odisha; Maharashtra; Kerala; Karnataka; Tamil Nadu,Massive,Rough,Brownpatterned,Broad,Recurved,Grasslands,Not Applicable,"A large constrictor commonly inhabiting forests, wetlands, and rocky terrains across India.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Rock%20Python.jpeg
Burmese Python,Python bivittatus,0,Assam; Arunachal Pradesh; Nagaland; Manipur,Bulky,Glossy,Tanpatterned,Triangular,Hooked,Swamps,Not Applicable,A giant non-venomous python often found near marshes and tropical forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Burmese%20Python.jpg
Reticulated Python,Malayopython reticulatus,0,Nicobar Islands,Lengthy,Netpatterned,Goldenbrown,Elongated,Sharp,Rainforests,Not Applicable,The world's longest snake species known for its intricate net-like body patterns.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Reticulated%20Python.jpg
Ball Python,Python regius,0,Not Naturally Found in India,Compact,Smooth,Darkbrown,Rounded,Small,Savannas,Not Applicable,A docile python famous for curling into a tight defensive ball posture.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Ball%20Python.jpeg
Sand Boa,Eryx conicus,0,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Stout,Keeled,Sandy,Blunt,Tiny,Deserts,Not Applicable,A burrowing non-venomous snake adapted for dry sandy and loose-soil habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Sand%20Boa.jpg
Red Sand Boa,Eryx johnii,0,Maharashtra; Gujarat; Rajasthan; Karnataka; Andhra Pradesh,Thick,Smooth,Reddish,Flattened,Minute,Scrublands,Not Applicable,A heavy-bodied burrowing snake popularly known for its reddish-brown coloration.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Red%20Sand%20Boa.jpg
Rough-scaled Sand Boa,Eryx conicus,0,Punjab; Haryana; Rajasthan; Gujarat,Robust,Rough,Brown,Narrow,Small,Aridlands,Not Applicable,A nocturnal sand boa specialized for burrowing through loose dry soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Rough-scaled%20Sand%20Boa.jpg
Common Sand Boa,Gongylophis conicus,0,Maharashtra; Rajasthan; Gujarat; Tamil Nadu,Compact,Textured,Olivebrown,Short,Toothlike,Farmlands,Not Applicable,A harmless ground-dwelling boa often hidden beneath rocks and dry vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Common%20Sand%20Boa.jpg
Arabian Sand Boa,Eryx jayakari,0,Not Naturally Found in India,Cylindrical,Granular,Yellowbrown,Spadelike,Tiny,Deserts,Not Applicable,A desert-adapted burrowing boa commonly inhabiting sandy Middle Eastern environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Arabian%20Sand%20Boa.jpeg
Dumerils Boa,Acrantophis dumerili,0,Not Naturally Found in India,Heavy,Satin,Brownblack,Wide,Curved,Dryforests,Not Applicable,A large constrictor native to Madagascar with excellent camouflage patterns.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Dumeril's%20Boa.jpeg
Rubber Boa,Charina bottae,0,Not Naturally Found in India,Stubby,Rubbery,Tan,Blunt,Minute,Woodlands,Not Applicable,A slow-moving boa recognized for its smooth rubber-like skin texture and gentle nature.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Rubber%20Boa.jpeg
Rosy Boa,Lichanura trivirgata,0,Not Naturally Found in India,Compact,Smooth,Rosy,Rounded,Small,Rocklands,Not Applicable,A colorful non-venomous boa commonly inhabiting rocky desert and scrub environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Rosy%20Boa.jpeg
Madurai Shieldtail,Uropeltis madurensis,0,Tamil Nadu,Cylindrical,Smooth,Darkbrown,Rounded,Tiny,Underground,Not Applicable,A burrowing shieldtail snake endemic to the forested hills near Madurai.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Madurai%20Shieldtail.jpeg
Travancore Shieldtail,Uropeltis travancoricus,0,Kerala; Tamil Nadu,Compact,Glossy,Purplish,Blunt,Minute,Leaflitter,Not Applicable,A secretive underground snake inhabiting moist forests of the southern Western Ghats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Travancore%20Shieldtail.jpeg
Kerala Shieldtail,Uropeltis liura,0,Kerala,Stubby,Polished,Blackish,Flattened,Small,Rainforests,Not Applicable,An endemic shieldtail snake adapted for burrowing in wet tropical soils.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Kerala%20Shieldtail.jpeg
Black Shieldtail,Uropeltis nigra,0,Tamil Nadu; Kerala,Short,Satin,Black,Oval,Tiny,Hillsides,Not Applicable,A dark-colored fossorial snake commonly found beneath loose forest soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Black%20Shieldtail.jpeg
Striped Shieldtail,Uropeltis macrorhyncha,0,Kerala; Tamil Nadu,Flexible,Striped,Brownish,Pointed,Minute,Woodlands,Not Applicable,A small burrowing snake distinguished by faint longitudinal body stripes.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Striped%20Shieldtail.jpeg
Kolli Hills Shieldtail,Uropeltis shorttii,0,Tamil Nadu,Robust,Textured,Graybrown,Rounded,Small,Mountains,Not Applicable,A rare endemic shieldtail inhabiting the rocky forests of Kolli Hills.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Kolli%20Hills%20Shieldtail.jpeg
Nilgiri Shieldtail,Uropeltis ocellata,0,Tamil Nadu; Kerala,Slender,Smooth,Oliveblack,Blunt,Tiny,Grasslands,Not Applicable,A fossorial snake native to high-elevation Nilgiri grasslands and forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Nilgiri%20Shieldtail.jpeg
Purple Shieldtail,Melanophidium punctatum,0,Kerala; Karnataka; Tamil Nadu,Elongated,Iridescent,Purple,Narrow,Minute,Humus,Not Applicable,A rare burrowing snake showing a glossy purple sheen under natural light.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Purple%20Shieldtail.jpeg
Coorg Shieldtail,Uropeltis arcticeps,0,Karnataka; Kerala,Compact,Smooth,Darkolive,Rounded,Tiny,Plantations,Not Applicable,A burrowing shieldtail commonly found in moist soils of Coorg hill regions.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Coorg%20Shieldtail.jpeg
Karnataka Shieldtail,Uropeltis ceylanica,0,Karnataka; Kerala; Tamil Nadu,Cylindrical,Glossy,Brownblack,Blunt,Minute,Rainforests,Not Applicable,A secretive underground snake adapted to wet forest floor habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Karnataka%20Shieldtail.jpg
White-spotted Shieldtail,Uropeltis dindigalensis,0,Tamil Nadu,Stubby,Spotted,Blackwhite,Flattened,Small,Hillsides,Not Applicable,A rare shieldtail distinguished by pale body spots and fossorial behavior.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/White-spotted%20Shieldtail.jpg
Brown Shieldtail,Uropeltis woodmasoni,0,Kerala; Tamil Nadu,Short,Polished,Brown,Rounded,Tiny,Leaflitter,Not Applicable,A harmless burrowing snake inhabiting damp forest soils and leaf-covered terrain.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Brown%20Shieldtail.jpg
Speckled Shieldtail,Uropeltis maculata,0,Kerala; Karnataka; Tamil Nadu,Flexible,Speckled,Graybrown,Oval,Minute,Woodlands,Not Applicable,A small fossorial shieldtail recognized by tiny speckled markings across its body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Speckled%20Shieldtail.jpg
Indian Worm Snake,Indotyphlops braminus,0,Assam; West Bengal; Maharashtra; Kerala; Tamil Nadu,Threadlike,Smooth,Darkbrown,Blunt,Toothless,Gardens,Not Applicable,A tiny burrowing snake often mistaken for an earthworm in loose soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Indian%20Worm%20Snake.jpeg
Brahminy Blind Snake,Indotyphlops braminus,0,All Indian States,Slender,Glossy,Blackish,Rounded,Minute,Underground,Not Applicable,"A widespread blind snake commonly found beneath stones, flowerpots, and moist soil.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Brahminy%20Blind%20Snake.jpg
Beaked Worm Snake,Grypotyphlops acutus,0,Tamil Nadu; Kerala; Karnataka; Andhra Pradesh,Cylindrical,Polished,Pinkbrown,Beaked,Tiny,Scrublands,Not Applicable,A fossorial snake recognized by its pointed beak-like snout for digging.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Beaked%20Worm%20Snake.jpg
Slender Worm Snake,Myriopholis macrorhyncha,0,Rajasthan; Gujarat; Maharashtra,Needlelike,Satin,Sandy,Narrow,Small,Deserts,Not Applicable,A delicate underground snake adapted to loose sandy and dry environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Slender%20Worm%20Snake.jpg
Thread Snake,Leptotyphlops scutifrons,0,Not Naturally Found in India,Hairlike,Sleek,Grayish,Spadelike,Toothless,Grasslands,Not Applicable,A tiny burrowing snake resembling a thread due to its extremely thin body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Thread%20Snake.jpeg
Blind Burrowing Snake,Argyrophis diardii,0,Assam; West Bengal; Odisha; Kerala,Cylindrical,Smooth,Darkgray,Blunt,Toothless,Underground,Not Applicable,A fossorial blind snake spending most of its life beneath loose moist soil.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Blind%20Burrowing%20Snake.jpeg
Tiny Blind Snake,Indotyphlops porrectus,0,Tamil Nadu; Kerala; Karnataka,Hairlike,Glossy,Brownish,Rounded,Minute,Gardens,Not Applicable,A very small underground snake commonly hidden beneath rocks and garden debris.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Tiny%20Blind%20Snake.jpeg
Long-tailed Blind Snake,Argyrophis oxycephalus,0,Assam; Arunachal Pradesh; Nagaland,Slender,Polished,Purplish,Pointed,Tiny,Rainforests,Not Applicable,A secretive blind snake distinguished by its unusually elongated tail region.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Long-tailed%20Blind%20Snake.jpeg
Flowerpot Snake,Indotyphlops braminus,0,All Indian States,Threadlike,Sleek,Black,Rounded,Toothless,Flowerpots,Not Applicable,A tiny parthenogenetic snake frequently transported through soil and potted plants.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Flowerpot%20Snake.jpeg
Earth Snake,Trachischium monticola,0,Sikkim; Arunachal Pradesh; Meghalaya; Nagaland,Compact,Rough,Earthbrown,Flattened,Small,Leaflitter,Not Applicable,A small ground-dwelling snake adapted to cool moist forest floor habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Earth%20Snake.jpeg
Ornate Flying Snake,Chrysopelea ornata,0,Assam; West Bengal; Kerala; Karnataka; Tamil Nadu,Flattened,Patterned,Greenyellow,Elongated,Rearfanged,Trees,Not Applicable,A gliding arboreal snake capable of moving between trees through controlled aerial motion.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Ornate%20Flying%20Snake.jpeg
Paradise Flying Snake,Chrysopelea paradisi,0,Andaman Islands; Nicobar Islands,Ribbonlike,Glossy,Blackgreen,Narrow,Curved,Rainforests,Not Applicable,A beautifully patterned flying snake known for impressive gliding abilities among forest canopies.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Paradise%20Flying%20Snake.jpg
Twin-barred Tree Snake,Chrysopelea pelias,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slender,Banded,Bronzegreen,Pointed,Sharp,Woodlands,Not Applicable,A small arboreal snake recognized by paired dark bands across its body.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Twin-barred%20Tree%20Snake.jpeg
Golden Tree Snake,Chrysopelea ornata ornata,0,Kerala; Karnataka; Tamil Nadu; Goa,Flexible,Satin,Golden,Oval,Tiny,Canopies,Not Applicable,A striking tree snake commonly observed gliding through tropical forest vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Golden%20Tree%20Snake.jpg
Green Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Lean,Smooth,Brightgreen,Rounded,Minute,Forests,Not Applicable,A fast-moving arboreal snake adapted for camouflage among green foliage.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Green%20Tree%20Snake.jpg
Slender Tree Snake,Dendrelaphis caudolineatus,0,Assam; West Bengal; Kerala; Karnataka; Tamil Nadu,Whiplike,Glossy,Olivegreen,Pointed,Tiny,Canopies,Not Applicable,A highly agile arboreal snake commonly active during daytime among tree branches.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Slender%20Tree%20Snake.jpeg
Forest Vine Snake,Ahaetulla perroteti,0,Kerala; Karnataka; Tamil Nadu,Threadlike,Smooth,Leafgreen,Elongated,Rearward,Rainforests,Not Applicable,A slender forest snake using camouflage to remain hidden within dense vegetation.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Forest%20Vine%20Snake.jpeg
Bamboo Tree Snake,Chrysopelea taprobanica,0,Kerala; Tamil Nadu; Karnataka,Flexible,Striped,Bamboogreen,Narrow,Sharp,Bamboo,Not Applicable,An arboreal snake frequently associated with bamboo groves and tropical forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Bamboo%20Tree%20Snake.jpeg
Spotted Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Slim,Spotted,Greenish,Rounded,Minute,Woodlands,Not Applicable,A fast-moving tree snake displaying scattered body spots and arboreal habits.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Spotted%20Tree%20Snake.jpg
Bridle Snake,Dryocalamus nympha,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Compact,Polished,Darkbrown,Blunt,Tiny,Shrublands,Not Applicable,A small nocturnal tree snake recognized by pale markings around its neck region.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Bridle%20Snake.jpg
Hill Tree Snake,Dendrelaphis chairecacos,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slender,Textured,Olivebrown,Pointed,Tiny,Hillsides,Not Applicable,An agile arboreal snake commonly inhabiting hilly forest and shrub-covered terrains.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Hill%20Tree%20Snake.jpeg
Flying Vine Snake,Chrysopelea paradisi,0,Andaman Islands; Nicobar Islands,Ribbonlike,Glossy,Greenblack,Narrow,Curved,Canopies,Not Applicable,A gliding tree snake capable of traveling between branches through aerial movement.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Flying%20Vine%20Snake.jpeg
Long-headed Tree Snake,Ahaetulla longirostris,0,Kerala; Karnataka; Tamil Nadu,Needlelike,Smooth,Leafy,Longheaded,Rearward,Rainforests,Not Applicable,A vine snake distinguished by its elongated head and excellent camouflage abilities.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Long-headed%20Tree%20Snake.jpeg
Forest Bronzeback,Dendrelaphis bifrenalis,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Satin,Bronzegreen,Oval,Small,Forests,Not Applicable,A swift arboreal snake active during daytime within humid tropical forests.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Forest%20Bronzeback.jpeg
Yellow Tree Snake,Dendrelaphis punctulatus,0,Not Naturally Found in India,Lean,Glossy,Yellowgreen,Rounded,Minute,Woodlands,Not Applicable,A brightly colored tree snake commonly inhabiting forested and shrub-rich environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Yellow%20Tree%20Snake.jpeg
Checkered Water Snake,Fowlea piscator,0,Assam; Bihar; West Bengal; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Checkered,Brown,Narrow,Toothlike,Rivers,Not Applicable,"A common freshwater snake frequently seen swimming near rivers, ponds, and wetlands.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Checkered%20Water%20Snake.jpg
Smooth Water Snake,Enhydris plumbea,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Graybrown,Blunt,Minute,Ponds,Not Applicable,"A harmless aquatic snake inhabiting ponds, marshes, and slow-moving freshwater habitats.",https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Smooth%20Water%20Snake.jpg
Dog-faced Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Kerala; Tamil Nadu,Stout,Keeled,Brown,Doglike,Small,Mangroves,Not Applicable,A non-venomous coastal water snake commonly found in muddy estuarine environments.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Dog-faced%20Water%20Snake.jpg
Mud Snake,Farancia abacura,0,Not Naturally Found in India,Cylindrical,Glossy,Blackred,Flattened,Tiny,Swamps,Not Applicable,A secretive aquatic snake usually inhabiting muddy marshes and swamp ecosystems.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mud%20Snake.jpeg
Freshwater Snake,Xenochrophis piscator,0,Assam; Odisha; Bihar; Tamil Nadu; Kerala,Flexible,Rough,Olive,Narrow,Sharp,Lakes,Not Applicable,A widespread non-venomous snake often hunting fish and frogs in freshwater habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Freshwater%20Snake.jpeg
Reed Snake,Calamaria reedi,0,Assam; Arunachal Pradesh; Meghalaya; Nagaland,Slender,Smooth,Brownish,Blunt,Tiny,Reedbeds,Not Applicable,A small secretive snake commonly hidden within reeds and moist grassy habitats.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Reed%20Snake.jpeg
Marsh Snake,Xenochrophis cerasogaster,0,West Bengal; Assam; Odisha; Bihar,Flexible,Glossy,Darkolive,Rounded,Minute,Marshes,Not Applicable,A semi-aquatic snake usually inhabiting marshlands and shallow freshwater wetlands.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Marsh%20Snake.jpeg
Rice Paddy Snake,Fowlea piscator,0,Assam; West Bengal; Odisha; Tamil Nadu; Kerala,Muscular,Keeled,Checkered,Flattened,Sharp,Paddyfields,Not Applicable,A common water snake frequently seen hunting frogs and fish in rice fields.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Rice%20Paddy%20Snake.jpeg
Mangrove Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Tamil Nadu,Stout,Rough,Graybrown,Doglike,Small,Mangroves,Not Applicable,A coastal snake adapted to muddy mangrove forests and brackish estuarine waters.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/Mangrove%20Water%20Snake.jpeg
River Snake,Atretium schistosum,0,Kerala; Karnataka; Tamil Nadu; Andhra Pradesh,Elongated,Satin,Olivegreen,Narrow,Tiny,Rivers,Not Applicable,A harmless semi-aquatic snake commonly found near flowing freshwater river systems.,https://nawahfjuesjmpvhvupyo.supabase.co/storage/v1/object/public/snake-images/River%20Snake.jpeg
